id;billerid;description;billercollectionaccount;datecreated;createdby;approved;approvedby;approveddate;chargableproductid;nonchargableproductid;usdbillercollectionaccount;enableduplicatecheck;remarks;sessionid;reworkby;status;active;rework
1;maintainer;about rudely successfully;grandson augment and;2025-01-20T12:19:49;aha unless cheese;24908;nun degenerate wrathful;2025-01-21T04:23:03;configuration likewise;upon;definite dearest;3183;peter fast;triumphantly any downright;hmph;12522;2970;21943
2;on dental as;guidance hmph section;barracks;2025-01-20T11:45:28;festival restaurant justly;26789;bolster;2025-01-20T11:51:32;yum;that;pish obediently reco;32502;brook commonly mindless;following;good;4116;4283;3626
3;wherever snarling;harmful charm;monasticism;2025-01-20T17:52:57;where apricot;3548;yahoo scrap;2025-01-20T16:11:01;ack rapid freezing;horde pale;illiterate;16946;whoever after brr;limply boohoo;into following;29455;2266;4036
4;psst lest;now majestically whereas;march;2025-01-20T18:07:10;deceivingly instead phew;931;likewise tackle;2025-01-20T23:25:09;upset geez;alongside pish;or;19477;midwife scrape until;boyfriend astride;quip drat yippee;10531;17096;20488
5;ah knuckle after;hungrily alongside;hence drat bemuse;2025-01-20T17:41:57;slimy;32364;courageously sunder;2025-01-21T07:01:52;whether bliss ah;bitterly muscat function;ah battle pace;14744;boo;fuzzy;whoa regarding platypus;13126;15448;22136
6;duffel;wherever veto;gullible;2025-01-20T13:42:21;tensely;19437;valiantly kissingly;2025-01-20T17:04:09;lest hunt who;gosh;whoever defiantly pr;8168;rewarding expense advanced;repurpose;and exasperation roger;18011;32113;31761
7;sarcastic brr;alive excitedly;including deafening;2025-01-20T17:25:15;inasmuch;6023;because see anenst;2025-01-21T00:59:48;unfortunate cellar or;far;because criminal tes;24758;needily dreamily release;critical;deduce um;28425;20193;1863
8;except lazy;dampen;well;2025-01-20T12:52:12;quadruple versus;13559;gadzooks once recommendation;2025-01-21T02:54:54;after notarize;what;obnoxiously address ;29070;huzzah less;aboard;for correctly devil;12508;26665;15425
9;among reasoning ew;lest phooey searchingly;besides experienced;2025-01-21T08:13:12;aside frightfully;17610;outstanding;2025-01-20T14:13:57;rim;enormously edge;thoughtfully;29876;juicy huzzah psst;venture lest if;zen that rightfully;8093;10235;1569
10;than neaten anti;space provided;whereas uh-huh never;2025-01-20T14:24:52;what;15263;singing mostly;2025-01-21T00:13:07;last secondary;aha quickly;until char nervously;11461;by;gratefully;until who bathrobe;32656;17045;7534
