id;txntype;feemode;amount;datecreated;createdby;approved;approvedby;channel;txncode;description;approveddate
1;excited;6903;4594;2025-01-21T04:41:07;incidentally;oh till consequently;instead;superficial energetically;4567;unbearably destock;2025-01-21T03:54:57
2;till anti;14833;12919;2025-01-20T09:16:18;fooey down;buttery safeguard;baptise wearily;uselessly tremendously overburden;29030;yahoo joshingly regarding;2025-01-21T00:27:56
3;excluding;13763;18791;2025-01-20T10:30:17;an;because order;impact adumbrate failing;including;26371;unaccountably;2025-01-20T12:06:28
4;baptise tiny;13065;26823;2025-01-21T00:03:39;suddenly;meanwhile;singing to key;toward bleach if;8350;huzzah;2025-01-21T06:41:57
5;as;3591;31492;2025-01-21T01:54:10;up;what ick;minty;searchingly where;8834;explode;2025-01-21T06:33:17
6;valentine because split;16169;9048;2025-01-21T01:20:41;capitalise;materialise against;famously divine;wildly annual;19904;finally typify whispered;2025-01-20T13:17:28
7;throughout embarrassment;5223;123;2025-01-20T14:13:26;while after;satisfy slimy frightened;phooey;hydrocarbon;9580;or secondary;2025-01-20T09:16:24
8;untrue sure-footed pry;5441;7823;2025-01-20T18:58:43;ideal really;aboard however;searchingly ajar;construe;727;pacemaker after gadzooks;2025-01-20T16:16:43
9;garage;2902;26108;2025-01-20T21:34:21;shrilly yet;yogurt bend speedily;warlike muscat;ordinary unused;8403;dreamily;2025-01-20T12:58:13
10;recent;25893;11392;2025-01-21T04:51:30;pure dial;convoke;upright;defiantly;22290;segregate the;2025-01-20T14:14:47
