id;billerid;processingcode;max;min;amount;createdby;approvedby;createdat;approvedon;approved;declined;declinedby;chargeid
1;thoughtfully needily;frightfully chunder;31208;15213;29161;pleasing tromp;shirk whether;gloat gee typify;repeat outside;11630;6410;yum;17623
2;over;before confide major;23438;13735;1841;hm less;vice improbable boohoo;mentor absent whoa;overload gee;2638;26008;discourse;8629
3;ick foolishly;official superior co;25110;28718;17500;yieldingly;mozzarella daily;boss yuck;amidst recklessly pe;25368;19870;who;23785
4;nor evenly;once;5623;10108;7419;micromanage yuck;hm;or evenly necessary;usually;4552;7573;juicy custom creature;4451
5;pish atomize;cosset drat;2408;21867;30538;so;searchingly yahoo;gadzooks first inasmuch;intellect cinema;19366;9189;who custom;30289
6;instead descriptive;terribly;15678;17809;24890;early drat enormously;as;lowball austere;trusty vastly;32592;15382;terrorise victoriously gah;14012
7;unto;searchingly lest sor;7539;22268;6762;till smart;which suddenly reassuringly;righteously;concerning;19126;22754;which;28232
8;ultimate aha;parade whoever;10442;20715;17276;heartache enthusiastically;eek pro;knowingly fencing recommendati;how mmm;18997;25118;over;9071
9;nor till atop;including haze circa;4628;1553;30247;airport;towards;for;until;11666;13482;meh vastly;27364
10;starboard;readily cuddly;16221;6421;31992;onto thunderbolt;enchanting sightseeing whose;impish hyphenation;uh-huh;31999;31122;eventually pneumonia grizzled;26512
