id;b_illerid;p_rocessingcode;m_ax;m_in;a_mount;c_reatedby;a_pprovedby;c_reatedat;a_pprovedon;a_pproved;d_eclined;d_eclinedby;c_hargeid
1;fooey;when;31395;772;24849;pfft strictly eyeliner;huzzah;pfft because;arrogantly blushing;28413;18466;immediate hmph;2296
2;less separately uniq;without;11595;21344;19825;deflect;immediately whoever;everlasting;exacerbate;14908;29091;till affectionate;11072
3;merge actually grate;close;27361;18009;23077;suffocate partially;woefully;seldom;supposing because;18109;8420;intellect;26519
4;boohoo;near utilized ugh;30763;6537;5805;uncork whopping dapper;weekly quarrel;braid within;membership;19551;28391;emulsify;19932
5;while validity;seagull;28218;13976;29189;freckle wasteful;helpless beside;waver greatly;anenst exactly tenem;16725;30067;potentially pack gah;23920
6;blend;big sturdy;22917;28951;9766;litter growing rebound;guacamole lamp opposite;similar;apropos majority;835;20476;small oof babushka;14811
7;ick;whether sinful exact;10114;8630;15528;red;behind;for;per;4903;27958;courageously;18945
8;supposing hovel;damaged utterly;18805;28043;29528;which recovery;well-worn untrue;whether;now;32087;1926;declaration ick thoroughly;27727
9;casement mantua;husky;7958;18949;5141;receptor circa and;dusk;through however dereference;perfectly winding se;1007;27191;representation anenst;7382
10;good-natured inside ;tuxedo;20118;857;13319;lend daily;backburn yippee;ah tense likewise;anxiously;29442;31016;ultimately perspire;29605
