id;transactiontype;procode;channel;transactionlimit;dailylimit;registeredby;registereddate;approved;approvedby;approveddate;updatedby;updateddate;rework;reworkby;sessionid
1;rosy rot hm;moor h;furthermore translation wheel;8;7;after sad;valuabl;re;joyfully;ew;um fondly drat;density;7;until which stranger;traffic underneath
2;along;vacati;midwife regarding pluck;3;1;refine;vain;ho;partridge fraternise;passpor;psst yowza ha;through;9;on gee;whoever
3;powerfully where;bracel;competent;5;3;quiet;gadzook;de;incidentally hmph;with is;failing grass;eek lik;6;asset;for
4;via;depute;joyfully unlike;7;10;volunteer sonar impact;enthusi;de;reproachfully scheme;tuba;humidity following;anenst;5;book oh;helplessly cinch
5;likewise decision;tecton;duh responsibility fooey;8;5;soon exterior rationalize;rationa;po;pink;except ;absent restfully;in mess;2;hm insolence;on
6;midst um;blight;ice-cream;9;9;yet never;cardboa;ap;lest faithfully;sleepil;merge ghost;guacamo;3;surprise manner;confusion chilly unaware
7;prejudge aside defiantly;crossl;giant;7;7;provided sleepy;rapidly;ph;nearly;table;tool;hm gah ;2;brr properly minority;beneath
8;rejigger;defian;wherever zowie;6;6;structure;brook c;ri;aboard hm stake;pecan c;phooey as jubilantly;redress;4;incomparable while crackle;um psst
9;thin;lyre v;during;6;3;vacantly that openly;unabash;me;merrily mortar before;delicio;woot major;serious;5;possession;until pro
10;conclude geez unimportant;how;about times;6;7;supposing;peony g;ob;mutate premise;candid ;thorn waist gah;guest;8;revitalise;even
