id;messagetype;description;messageenglish;messagesomali;createdon
1;decision;including pause;fast whitewash brr;sudden failing behind;2025-01-21T01:13:57
2;furthermore;rally once degenerate;joyfully cautiously fooey;inventory whoa willfully;2025-01-21T06:18:34
3;after an mid;reluctantly circumference accompany;cornet zowie pure;bakeware;2025-01-20T20:52:56
4;inside;ew out;unnaturally excitable;deployment institute;2025-01-21T00:18:18
5;hold incidentally mozzarella;scarcely despite yet;shimmering;know limited;2025-01-21T04:54:26
6;biodegrade;interestingly;corner anti around;rich heartache;2025-01-21T03:04:30
7;char astride oh;usefully;disinherit throughout woot;rosemary;2025-01-20T19:33:22
8;and impartial;excepting pace serpentine;smoke;inside;2025-01-21T07:23:03
9;colonialism zesty utterly;eek oh;because cellar;glisten;2025-01-20T10:31:13
10;anaesthetise plain;splurge phew;incidentally diversity ah;coin fit;2025-01-21T08:29:46
