id;rangefrom;rangeto;amount;txntype;txncode;chargeid;channel
1;25979;3313;24762.63;lest plait;keel;2500;near dally
2;2932;14481;2830.44;powerfully incidentally outstanding;sometimes hm ick;245;drat what
3;12584;4976;6669.82;yahoo;searchingly;25857;book except
4;29527;11754;8648.64;descendant;gosh;25733;always
5;15770;19201;32458.68;wetly;without wherever;11323;past
6;29288;25545;20496.57;separate;unless excepting and;22003;shrilly
7;17784;26586;25030.27;pro;terrorise;26189;frenetically
8;1220;15896;24915.44;broadly pace powerfully;omelet supposing;16203;almost lazily
9;7888;23196;4084.89;minister;roundabout follower;14094;rowdy printer prejudge
10;5082;19571;14901.51;if needy;regarding now angrily;11142;ouch versus corny
