id;processingcode;active;createdby;datecreated;approved;approvedby;approveddate;adaptortype;destination;thirdpartyresponse;telco;description;remarks;sessionid;reworkby
1;expensive major er;pfft silently haircu;concentration besides whoever;2025-01-20T21:31:06;19658;up;2025-01-21T06:14:25;during;where yowza whenever;12772.93;bah flood formation;snappy hm;mob;hoot fraternise;sociable
2;delight until easily;pigpen plus;sport;2025-01-20T11:20:49;29113;dead off;2025-01-20T14:04:37;ah;mostly handle where;24350.99;gee;unfurl;monthly;furthermore;merge tricky
3;revere until;fast mozzarella glea;clear-cut duh regal;2025-01-20T16:33:28;14726;who;2025-01-20T15:03:56;than quadruple notwi;dental foretell soft;20288.34;hard-to-find between;electronics bashfully powerless;which;labourer punctually pretend;minus
4;packaging ha tricky;hornet recent as;faithfully sharply nervous;2025-01-21T00:54:29;27713;hasty;2025-01-20T14:00:24;valentine till phooe;optimistically;21767.16;tedious boohoo;solace apropos;endow;for;inasmuch
5;openly reopen;likewise;casket;2025-01-20T16:24:01;17480;clinch boohoo while;2025-01-20T15:02:43;suburban observe bef;which bare curry;10209.05;carefully barring;pastel than swine;yahoo;front enfold;pasta sans
6;recklessly complicat;during;pendant limping ameliorate;2025-01-20T12:06:24;14842;before hence trolley;2025-01-20T23:25:15;schlep fondly;warmly;17114.12;ew marvelous;boohoo sans lazily;a intelligent;brief;drive sushi
7;ha flood besides;inside dish of;wildly starboard;2025-01-21T00:54:49;22939;ah when;2025-01-20T11:40:48;institute behind;writhing even monthl;4157.2;expert burgeon furth;but;overload;thyme interchange;till boohoo apud
8;hearten near aha;who;within;2025-01-20T18:55:18;2263;phooey writhing;2025-01-20T19:45:32;gee whenever;chubby frank;9277.46;finer;stitcher;knavishly;aw;oh swift oof
9;wealthy stealthily v;huzzah on confusion;powerfully;2025-01-21T05:49:17;1348;burgeon astride;2025-01-21T01:52:11;once;well-groomed gleeful;29954.23;eek octave aha;soup league;rudely;searchingly astonishing;amid amongst
10;a toward;mad;biodegradable;2025-01-20T16:16:06;22116;catalog neglect scarper;2025-01-21T05:16:18;singing;perfectly;22822.96;till for wildly;yummy dishearten daily;deliberately after;persecute;as upright
