id;p_rocessingcode;a_ctive;c_reatedby;d_atecreated;a_pproved;a_pprovedby;a_pproveddate;a_daptortype;d_estination;t_hirdpartyresponse;t_elco;d_escription;r_emarks;s_essionid;r_eworkby
1;ha madly esteemed;beside;but to reorient;2025-01-17T12:01:32;16023;vice searchingly fen;2025-01-16T18:52:04;whoever descendant a;coil airman free;29822.36;atop graduate;whereas while because;christen;where;recklessly gape poetry
2;ew whether woot;underneath worst;amongst riser;2025-01-16T21:32:26;6535;whose kiddingly observe;2025-01-17T07:10:34;yet expatiate;barring thunderbolt ;1314.34;whimsical during;but fidget if;decriminalize;whether wisely teeming;overdue kindly
3;mmm inwardly;whoever cap finally;although duh federate;2025-01-16T22:49:29;2139;sans;2025-01-16T17:16:16;dependent;loftily developing;10669.1;monster boohoo narro;filter than confiscate;huzzah likely;mortally substantiate;incidentally
4;useless utterly circ;unless along;ack;2025-01-17T08:52:02;29286;delectable boo indeed;2025-01-17T09:51:26;limply;rust verve;7434.06;rigidly;furthermore;adjourn natural putrid;around bandwidth;once
5;sashay upon;fisherman;stark late;2025-01-17T07:16:26;4784;for cop;2025-01-17T01:55:42;nervously;voluntarily fiercely;16998.59;since recount;passionate psst gee;hence;blah tomorrow yum;psst
6;apud meander woot;while;indeed;2025-01-17T10:29:11;9535;carp;2025-01-16T16:53:26;antagonize unless;paintwork unexpected;22076.24;plus wallop;dim;finally whoa milestone;huge courteous;amid
7;earnest while unblin;pure;ultimate um;2025-01-17T11:08:42;1319;who;2025-01-17T06:35:45;undergo whereas;towards uh-huh enlis;9890.19;putrefy barring;fooey longboat eternity;scoop dredger last;very;annual
8;qua;plump healthily;forage;2025-01-16T18:23:50;450;cassava phooey;2025-01-17T07:12:35;kindly lest and;wonderfully monthly;5646.78;even deeply scoff;beautifully;sit ouch after;though;hm qua toward
9;excitedly;pace;toe steak ah;2025-01-17T01:29:19;4993;palate chunder;2025-01-16T18:04:04;really toaster;yet;17552.65;instead under fierce;upon;thoroughly turret;boo;boulevard stage and
10;for or considerate;fooey even psst;so;2025-01-16T17:50:01;1009;geez;2025-01-16T16:09:29;colorful if tough;twine who convince;6752.53;utterly quaintly;grouchy banish afore;irritably beside;or;before meh deselect
